type	name	value	zone	address	bytes	access	other
Internal	A	---			1	readWrite	strong	
Internal	X	---			2	readWrite	strong	
Internal	Y	---			2	readWrite	strong	
Internal	SP	---			2	readWrite	strong	
Internal	PC	---			3	readWrite	strong	
Internal	CC	---			1	readWrite	strong	
Internal	XL	---			1	readWrite	strong	
Internal	XH	---			1	readWrite	strong	
Internal	YL	---			1	readWrite	strong	
Internal	YH	---			1	readWrite	strong	
Internal	PCL	---			1	readWrite	strong	
Internal	PCH	---			1	readWrite	strong	
Internal	PCE	---			1	readWrite	strong	
Internal	?b0	---			1	readWrite	strong	
Internal	?b1	---			1	readWrite	strong	
Internal	?b2	---			1	readWrite	strong	
Internal	?b3	---			1	readWrite	strong	
Internal	?b4	---			1	readWrite	strong	
Internal	?b5	---			1	readWrite	strong	
Internal	?b6	---			1	readWrite	strong	
Internal	?b7	---			1	readWrite	strong	
Internal	?b8	---			1	readWrite	strong	
Internal	?b9	---			1	readWrite	strong	
Internal	?b10	---			1	readWrite	strong	
Internal	?b11	---			1	readWrite	strong	
Internal	?b12	---			1	readWrite	strong	
Internal	?b13	---			1	readWrite	strong	
Internal	?b14	---			1	readWrite	strong	
Internal	?b15	---			1	readWrite	strong	
Internal	?w0	---			2	readWrite	strong	
Internal	?w1	---			2	readWrite	strong	
Internal	?w2	---			2	readWrite	strong	
Internal	?w3	---			2	readWrite	strong	
Internal	?w4	---			2	readWrite	strong	
Internal	?w5	---			2	readWrite	strong	
Internal	?w6	---			2	readWrite	strong	
Internal	?w7	---			2	readWrite	strong	
Internal	?e0	---			3	readWrite	strong	
Internal	?e1	---			3	readWrite	strong	
Internal	?e2	---			3	readWrite	strong	
Internal	?e3	---			3	readWrite	strong	
Internal	?l0	---			4	readWrite	strong	
Internal	?l1	---			4	readWrite	strong	
Internal	?l2	---			4	readWrite	strong	
Internal	?l3	---			4	readWrite	strong	
Factory	PA_ODR	---	Memory	0x5000	1	readWrite	strong	
Factory	PA_IDR	---	Memory	0x5001	1	readWrite	strong	
Factory	PA_DDR	---	Memory	0x5002	1	readWrite	strong	
Factory	PA_CR1	---	Memory	0x5003	1	readWrite	strong	
Factory	PA_CR2	---	Memory	0x5004	1	readWrite	strong	
Factory	PB_ODR	---	Memory	0x5005	1	readWrite	strong	
Factory	PB_IDR	---	Memory	0x5006	1	readWrite	strong	
Factory	PB_DDR	---	Memory	0x5007	1	readWrite	strong	
Factory	PB_CR1	---	Memory	0x5008	1	readWrite	strong	
Factory	PB_CR2	---	Memory	0x5009	1	readWrite	strong	
Factory	PC_ODR	---	Memory	0x500a	1	readWrite	strong	
Factory	PC_IDR	---	Memory	0x500b	1	readWrite	strong	
Factory	PC_DDR	---	Memory	0x500c	1	readWrite	strong	
Factory	PC_CR1	---	Memory	0x500d	1	readWrite	strong	
Factory	PC_CR2	---	Memory	0x500e	1	readWrite	strong	
Factory	PD_ODR	---	Memory	0x500f	1	readWrite	strong	
Factory	PD_IDR	---	Memory	0x5010	1	readWrite	strong	
Factory	PD_DDR	---	Memory	0x5011	1	readWrite	strong	
Factory	PD_CR1	---	Memory	0x5012	1	readWrite	strong	
Factory	PD_CR2	---	Memory	0x5013	1	readWrite	strong	
Factory	PE_ODR	---	Memory	0x5014	1	readWrite	strong	
Factory	PE_IDR	---	Memory	0x5015	1	readWrite	strong	
Factory	PE_DDR	---	Memory	0x5016	1	readWrite	strong	
Factory	PE_CR1	---	Memory	0x5017	1	readWrite	strong	
Factory	PE_CR2	---	Memory	0x5018	1	readWrite	strong	
Factory	PF_ODR	---	Memory	0x5019	1	readWrite	strong	
Factory	PF_IDR	---	Memory	0x501a	1	readWrite	strong	
Factory	PF_DDR	---	Memory	0x501b	1	readWrite	strong	
Factory	PF_CR1	---	Memory	0x501c	1	readWrite	strong	
Factory	PF_CR2	---	Memory	0x501d	1	readWrite	strong	
Factory	FLASH_CR1	---	Memory	0x505a	1	readWrite	strong	
Factory	FLASH_CR2	---	Memory	0x505b	1	readWrite	strong	
Factory	FLASH_NCR2	---	Memory	0x505c	1	readWrite	strong	
Factory	FLASH_FPR	---	Memory	0x505d	1	readWrite	strong	
Factory	FLASH_NFPR	---	Memory	0x505e	1	readWrite	strong	
